Province,Year,Gender,Area_Type,Percentage
Riau,2021,Male,Urban+Rural,22.19202031
Riau,2021,Female,Urban,31.38012866
Riau,2021,Female,Rural,18.19332922
Riau,2021,Female,Urban+Rural,23.40213554
Riau,2022,Male,Urban,22.00178535
Riau,2022,Male,Rural,28.68490922
Riau,2022,Male,Urban+Rural,26.04864783
Riau,2022,Female,Urban,24.5959885
Riau,2022,Female,Rural,30.91687339
Riau,2022,Female,Urban+Rural,28.33256692
Riau,2023,Male,Urban,22.46402959
Riau,2023,Male,Rural,22.35447947
Riau,2023,Male,Urban+Rural,22.39796402
Riau,2023,Female,Urban,27.86572789
Riau,2023,Female,Rural,25.19517576
Riau,2023,Female,Urban+Rural,26.28212538
Jambi,2009,Male,Urban,22.63
Jambi,2009,Male,Rural,28.48
Jambi,2009,Male,Urban+Rural,26.61
Jambi,2009,Female,Urban,23.88
Jambi,2009,Female,Rural,27.46
Jambi,2009,Female,Urban+Rural,26.28
Jambi,2010,Male,Urban,29.38
Jambi,2010,Male,Rural,29.7
Jambi,2010,Male,Urban+Rural,29.61
Jambi,2010,Female,Urban,29.22
Jambi,2010,Female,Rural,29.83
Jambi,2010,Female,Urban+Rural,29.64
Jambi,2011,Male,Urban,17.84
Jambi,2011,Male,Rural,23.88
Jambi,2011,Male,Urban+Rural,22.03
Jambi,2011,Female,Urban,25.58
Jambi,2011,Female,Rural,19.01
Jambi,2011,Female,Urban+Rural,23.55
Jambi,2012,Male,Urban,21.62
Jambi,2012,Male,Rural,20.52
Jambi,2012,Male,Urban+Rural,20.85
Jambi,2012,Female,Urban,21.14
Jambi,2012,Female,Rural,22.03
Jambi,2012,Female,Urban+Rural,21.76
Jambi,2013,Male,Urban,17.20022274
Jambi,2013,Male,Rural,21.04865656
Jambi,2013,Male,Urban+Rural,19.88265563
Jambi,2013,Female,Urban,18.42890212
Jambi,2013,Female,Rural,22.82708415
Jambi,2013,Female,Urban+Rural,21.46991331
Jambi,2014,Male,Urban,21.10311621
Jambi,2014,Male,Rural,21.98594877
Jambi,2014,Male,Urban+Rural,21.71919446
Jambi,2014,Female,Urban,21.1737645
Jambi,2014,Female,Rural,22.52348083
Jambi,2014,Female,Urban+Rural,22.1081911
Jambi,2015,Male,Urban,24.98671026
Jambi,2015,Male,Rural,22.60291975
Jambi,2015,Male,Urban+Rural,23.319562
Jambi,2015,Female,Urban,26.16841892
Jambi,2015,Female,Rural,25.3818868
Jambi,2015,Female,Urban+Rural,25.623151
Jambi,2016,Male,Urban,25.1127791
Jambi,2016,Male,Rural,22.12680239
Jambi,2016,Male,Urban+Rural,23.03701073
Jambi,2016,Female,Urban,25.42642536
Jambi,2016,Female,Rural,23.85504673
Jambi,2016,Female,Urban+Rural,24.34513957
Jambi,2017,Male,Urban,22.96611082
Jambi,2017,Male,Rural,19.25937085
Jambi,2017,Male,Urban+Rural,20.41613085
Jambi,2017,Female,Urban,22.54115775
Jambi,2017,Female,Rural,20.0456069
Jambi,2017,Female,Urban+Rural,20.83896412
Jambi,2018,Male,Urban,21.02545452
Jambi,2018,Male,Rural,21.51324151
Jambi,2018,Male,Urban+Rural,21.35823437
Jambi,2018,Female,Urban,21.85224871
Jambi,2018,Female,Rural,24.30529808
Jambi,2018,Female,Urban+Rural,23.51287406
Jambi,2019,Male,Urban,19.6598062
Jambi,2019,Male,Rural,21.06453215
Jambi,2019,Male,Urban+Rural,20.60680125
Jambi,2019,Female,Urban,22.32034543
Jambi,2019,Female,Rural,22.22409442
Jambi,2019,Female,Urban+Rural,22.25527123
Jambi,2020,Male,Urban,19.74831869
Jambi,2020,Male,Rural,20.77755605
Jambi,2020,Male,Urban+Rural,20.44279627
Jambi,2020,Female,Urban,21.87732206
Jambi,2020,Female,Rural,23.34689109
Jambi,2020,Female,Urban+Rural,22.87196864
Jambi,2021,Male,Urban,12.43584277
Jambi,2021,Male,Rural,17.35296061
Jambi,2021,Male,Urban+Rural,15.73344808
